algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,27,2,15,216,0.75,26996736
naive,27,2,15,216,1.51,26787840
main,27,3,15,216,0.90,38592512
naive,27,3,15,216,11.04,26624000
main,27,4,15,216,89.99,1368322048
naive,27,4,15,216,957.30,26222592
main,27,5,15,216,1000.88,9622994944
naive,27,5,15,216,1000.01,26517504
