algorithm,n,k,lcs_length,lcs_count,running time,memory usage
main,9,2,5,6,0.22,26341376
naive,9,2,5,6,0.22,26071040
main,10,2,6,6,0.24,26349568
naive,10,2,6,6,0.24,26120192
main,11,2,7,6,0.23,26415104
naive,11,2,7,6,0.23,26079232
main,12,2,7,6,0.23,26480640
naive,12,2,7,6,0.24,26165248
main,13,2,8,6,0.23,26353664
naive,13,2,8,6,0.23,26152960
main,14,2,8,18,0.25,26501120
naive,14,2,8,18,0.29,26152960
main,15,2,8,18,0.27,26492928
naive,15,2,8,18,0.31,26238976
main,16,2,8,18,0.25,26492928
naive,16,2,8,18,0.26,26189824
main,17,2,9,36,0.24,26578944
naive,17,2,9,36,0.27,26218496
main,18,2,10,36,0.25,26546176
naive,18,2,10,36,0.29,26312704
main,19,2,11,36,0.30,26595328
naive,19,2,11,36,0.27,26505216
main,20,2,12,36,0.25,26681344
naive,20,2,12,36,0.24,26259456
main,21,2,12,36,0.25,26574848
naive,21,2,12,36,0.26,26341376
main,22,2,13,36,0.40,26652672
naive,22,2,13,36,0.34,26464256
main,23,2,13,108,0.36,26890240
naive,23,2,13,108,0.47,26439680
main,24,2,13,108,0.29,26734592
naive,24,2,13,108,0.90,26451968
main,25,2,13,108,0.33,26923008
naive,25,2,13,108,2.89,26484736
main,26,2,14,216,0.35,26894336
naive,26,2,14,216,4.09,26488832
main,27,2,15,216,0.42,27054080
naive,27,2,15,216,1.55,26603520
main,28,2,16,216,0.47,26972160
naive,28,2,16,216,1.47,26742784
main,29,2,17,216,0.42,26996736
naive,29,2,17,216,1.45,26525696
main,30,2,17,216,0.47,27156480
naive,30,2,17,216,3.05,26710016
main,31,2,18,216,0.50,27074560
naive,31,2,18,216,2.70,26951680
main,32,2,18,648,0.71,27348992
naive,32,2,18,648,17.49,26755072
main,33,2,18,648,1.16,27435008
naive,33,2,18,648,55.22,26849280
main,34,2,18,648,1.20,27381760
naive,34,2,18,648,196.65,26755072
main,35,2,19,1296,1.34,27561984
naive,35,2,19,1296,245.64,26968064
main,36,2,20,1296,1.43,27578368
naive,36,2,20,1296,78.59,26976256
main,37,2,21,1296,1.92,27586560
naive,37,2,21,1296,81.40,26877952
main,38,2,22,1296,2.11,27602944
naive,38,2,22,1296,84.74,26980352
main,39,2,22,1296,2.23,27512832
naive,39,2,22,1296,155.31,26836992
main,40,2,23,1296,2.49,27619328
naive,40,2,23,1296,153.75,27111424
main,41,2,23,3888,5.85,28057600
naive,41,2,23,3888,1000.00,27070464
main,42,2,23,3888,8.82,28086272
main,43,2,23,3888,6.51,28340224
main,44,2,24,7776,12.26,29757440
main,45,2,25,7776,17.03,29663232
main,46,2,26,7776,23.23,29876224
main,47,2,27,7776,27.80,29859840
main,48,2,27,7776,26.52,30027776
main,49,2,28,7776,43.53,28594176
main,50,2,28,23328,108.28,36245504
main,51,2,28,23328,97.73,36274176
main,52,2,28,23328,91.43,36306944
main,53,2,29,46656,171.87,44339200
main,54,2,30,46656,236.45,44978176
main,55,2,31,46656,316.74,45899776
main,56,2,32,46656,429.95,46710784
main,57,2,32,46656,473.35,46641152
main,58,2,33,46656,609.81,46731264
